1,0.15,1496.5
2,0.6,2323.06
3,0.89,2586.82
4,1.18,2915.05
5,1.53,2733.09
6,1.71,2817.64
7,2.11,3083.19
8,2.62,3230.54
9,2.84,3018.47
10,3.22,3312.57
11,3.34,3114.86
12,3.73,3294.71
13,3.9,3057.04
14,4.21,3088.24
15,4.74,3327.9
16,5.16,3235.68
17,4.79,2774.92
18,5.44,2927.64
19,5.52,2709.46
20,6.24,2965.39
21,6.39,2829.35
22,6.83,2878.19
23,6.66,2673.69
24,7.42,2855.25
25,7.3,2685.24
26,7.68,2695.05
27,7.94,2624.27
28,8,2511.25
29,8.29,2524.8
30,8.36,2497.46
31,8.39,2372.01
32,9.35,2420.75
33,9.11,2374.27
34,9.26,2345.84
35,9.89,2482.83
36,9.57,2242.45
37,9.53,2133.85
38,9.97,2187.91
39,10,2180.41
40,11.03,2335.26
41,10.92,2210.83
42,10.94,2175.8
43,11.23,2190.87
44,11.91,2245.64
45,12.01,2205.74
46,12.37,1992.35
47,11.19,1826.6
48,12.19,2004.12
49,12.44,2041.16
50,11.94,1806.19
51,13.06,1978.66
52,12.22,1728.27
53,13.02,1881.56
54,12.43,1732.09
55,13.48,1949.7
56,12.85,1792.84
57,13.37,1803.39
58,12.73,1593.21
59,13.22,1665.61
60,14,1741.09
61,13.46,1620.19
62,13.83,1612.66
63,14.65,1764.23
64,14.22,1647.38
65,14.7,1644.86
66,15.09,1730.7
67,14.65,1557.78
68,15.64,1668.21
69,14.38,1426.21
70,14.67,1460.14
71,14.93,1472.59
72,15.83,1559.76
73,14.56,1344.43
74,15.79,1477.68
75,16.45,1555.97
76,15.92,1460.11
77,16.13,1380.52
78,18.42,1481.8
79,16.03,1396.35
80,15.93,1320.2
81,16.67,1437.37
82,16.65,1362.19
83,16.89,1397.25
84,16.89,1309.26
85,17.37,1393.12
86,17.72,1415.05
87,17.64,1354.15
88,16.82,1240.3
89,17.26,1257.73
90,17.71,1283.77
91,18.77,1389.52
92,19.03,1405.54
93,18.36,1301.76
94,18.66,1298.81
95,18.77,1289.28
96,17.9,1181.78
97,18.41,1205.36
98,19.78,1327.13
99,19.19,1197.55
100,18.61,1164.74
